ThreadID,WindowStartTime(s),0,1,2,3,4,5,6,7,8,9,10,11,12,13
2530,115,2704736768,0,0,0,0,0,153527552,3980639744,93155662848,0,0,0,0,0,0
2530,215,2023153408,0,0,0,0,0,145027840,4082595840,93744132352,10011392,0,0,0,0,0
2530,315,4461737472,0,36352,0,0,0,163842816,4063975680,91282990080,19130368,0,0,0,0,0
2530,415,2761184256,0,0,0,0,0,46715648,4286807040,92905876480,0,0,0,0,0,0
2530,515,6881873408,0,0,0,0,0,54873088,3794011136,89249363712,10063360,0,101120,0,0,0
2530,615,4621856512,0,13824,0,0,0,169660160,3884763648,91318842624,0,0,0,0,0,0
2530,715,5066044928,0,0,0,0,0,147963648,3968191488,91124822528,0,0,0,0,0,0
2530,815,2920458752,0,0,0,0,0,160415232,4099402240,92365616128,149813248,0,0,0,0,0
2530,915,6288237312,0,0,0,0,0,267948032,4124036096,89238040832,71883776,0,0,0,0,0
2530,1015,3078448896,0,0,0,0,0,252099584,4012092160,92653847040,0,0,0,0,0,0
2530,1115,5579425280,0,12800,0,0,0,152491264,3654978048,90599771904,10070528,0,0,0,0,0
2530,1215,2764950272,0,0,0,0,0,60844032,1166568192,96008793344,0,0,0,0,0,0
2530,1315,3746483968,0,0,0,0,0,88857856,4132710144,92010846720,10000896,0,0,0,0,0
2530,1415,9020462336,0,247296,0,0,0,110408960,6472985088,84393335296,0,0,0,0,0,0
2530,1515,4477077760,0,0,0,0,0,44648448,6122653696,89368965632,8655616,0,0,0,0,0
2530,1615,2853351680,0,0,0,0,0,63369216,10725560576,86320304896,0,0,0,0,0,0
2530,1715,4310278656,0,0,0,26324480,0,171792896,2562269440,92779260928,0,0,0,0,0,0
2530,1815,4469856512,0,123136,0,0,0,124545536,2091160320,93293759232,10027520,0,0,0,0,0
2530,1915,255754240,0,0,0,0,0,15989248,1018970880,17985810944,0,0,0,0,0,0
1401,037,12146020096,0,1280,0,0,0,347245056,2932209920,84522404864,53437696,0,0,0,0,0
1401,137,7364762880,0,0,0,0,0,395193344,2969971968,89219054592,40078080,0,0,0,0,0
1401,237,10750934016,0,36352,0,0,0,430474240,2934494720,85807127808,59703808,0,0,0,0,0
1401,337,10482497792,0,3072,0,10113024,0,349244672,2706501376,86410626048,33290752,0,0,0,0,0
1401,437,9801728000,0,16384,0,0,0,406852096,2816143872,86945916416,20131328,0,0,0,0,0
1401,537,8375024896,0,0,0,10114304,0,343621632,3264967680,88000267008,0,0,0,0,0,0
1401,637,14224755200,0,13824,0,0,0,287202560,2524507392,82956274944,0,0,0,0,0,0
1401,737,8875400704,0,82688,0,0,0,4501910528,2929784064,83620378368,70423296,0,0,0,0,0
1401,837,16245818112,0,6912,0,0,0,388586752,2588970496,80748674560,20264192,0,0,0,0,0
1401,937,8759793152,0,31488,0,0,0,491682560,2900637184,87752587008,92206336,0,0,0,0,0
1401,1037,11420834560,0,193280,0,0,0,533585920,2841603072,85157999360,40309504,0,0,0,0,0
1401,1137,7434155520,0,12800,0,0,0,414882048,2674318592,89447643392,6507776,0,0,0,0,0
1401,1237,6574311936,0,0,0,0,0,200803840,971423744,92257444096,0,0,0,0,0,0
1401,1337,18117787904,0,0,0,0,0,310817024,3969794560,77562475776,16024320,0,0,0,0,0
1401,1437,30727121664,0,0,0,8136192,0,95629312,4769412096,64375003904,20250368,0,0,0,0,0
1401,1537,11808597248,0,0,0,10091008,0,242471168,7089216768,80782961152,48914688,0,0,0,0,0
1401,1637,17145159680,0,0,0,10058496,0,415298560,7050990848,75342569216,33220608,0,0,0,0,0
1401,1737,8026832896,0,0,0,0,0,195943168,1633236480,90145432064,0,0,0,0,0,0
1401,1837,6553023744,0,127232,0,0,0,186052096,1771330048,73784400128,20038656,0,0,0,0,0
21118,1653,0,0,0,0,0,0,0,830976,7418368,0,0,0,0,0,0
20876,053,0,0,0,0,0,0,0,3419136,20143104,0,0,0,0,0,0
21129,1747,0,0,0,0,0,0,0,1554176,11325696,0,0,0,0,0,0
1255,037,9658842112,0,1280,0,0,0,247804160,3104154880,86937790976,53437696,0,0,0,0,0
1255,137,5724478720,0,0,0,0,0,302061056,2968812288,90953073920,40078080,0,0,0,0,0
1255,237,13967397120,0,36352,0,0,0,344151040,2898470656,82690746880,49268992,0,0,0,0,0
1255,337,11675103488,0,3072,0,10113024,0,290988032,2677307904,85296945920,43380992,0,0,0,0,0
