ThreadID,WindowStartTime(s),Variance
1401,1037.585704,23079847411222.76
1401,1137.585704,16398229794930.764
1401,1237.585704,15264728675994.014
1401,1337.585704,20258798868390.25
1401,1437.585704,30992375583749.65
1401,1537.585704,1327601893789.878
1401,1637.585704,1993715637528.6719
1401,1737.585704,22510575107324.16
1255,037.584956,18131458929863.93
1255,137.584956,14580352271071.018
1255,237.584956,27559949811343.457
1255,337.584956,22930545389904.938
1255,437.584956,15157000002303.848
1255,537.584956,17052240407488.24
1255,637.584956,17722519165148.457
1255,737.584956,29729577138281.133
1255,837.584956,16666068583796.562
1255,937.584956,26294114419102.63
1255,1037.584956,15919195113945.736
1255,1137.584956,24883635377707.242
1255,1237.584956,14417542510802.928
1255,1337.584956,14419421755455.795
1255,1437.584956,35342071878437.195
1255,1537.584956,1288673061376.9507
1255,1637.584956,938060469634.5117
1255,1737.584956,22464923703770.277
1350,014.2247827,11997651344046.645
1350,114.2247827,10851954434541.682
1350,214.2247827,8285635823112.94
1350,314.2247827,9188707530939.77
1350,414.2247827,9115029240690.49
1350,514.2247827,9910665119514.096
1350,614.2247827,10008978959577.244
1350,714.2247827,10125885217682.84
1350,814.2247827,8339391844963.905
1350,914.2247827,11227804469085.54
1350,1014.2247827,12372613179912.756
1350,1114.2247827,9605126868845.61
1350,1214.2247827,11382385878821.791
1350,1314.2247827,7192489379780.31
1350,1414.2247827,14683836149350.205
1350,1514.2247827,1122941626087.0518
1350,1614.2247827,116098703442.9982
1350,1714.2247827,17448349550606.342
1350,1814.2247827,23660557065990.105
1331,017.0084634,32114254833690.645
1331,117.0084634,52672057655009.2
1331,217.0084634,34884796724295.695
1331,317.0084634,41750823962316.305
1331,417.0084634,37492369350578.875
1331,517.0084634,35147934814921.28
1331,617.0084634,45246222760825.97
1331,717.0084634,60668429208148.5
1331,817.0084634,36890914237209.04
1331,917.0084634,34517357976604.355
1331,1017.0084634,33358406935630.914
1331,1117.0084634,43074506162456.414
1331,1217.0084634,42266050949286.64
1331,1317.0084634,69793833337743.33
1331,1417.0084634,67241546816844.17
1331,1517.0084634,5763017569896.576
1331,1617.0084634,1871188192685.207
1331,1717.0084634,55039575995136.984
1331,1817.0084634,51132286301626.08
1398,037.5856884,22901504603580.594
1398,137.5856884,13484995254758.998
1398,237.5856884,15174274416123.396
1398,337.5856884,29796099898168.17
1398,437.5856884,15141412580019.896
1398,537.5856884,24694306248887.926
1398,637.5856884,15313176532814.39
1398,737.5856884,17962810554896.996
1398,837.5856884,79777261360698.08
1398,937.5856884,21286520795208.08
1398,1037.5856884,18947850475367.395
1398,1137.5856884,14230986616815.363
1398,1237.5856884,17913820750691.51
1398,1337.5856884,54768047057961.37
1398,1437.5856884,24963664715415.863
1398,1537.5856884,1368649268377.3474
1398,1637.5856884,1817156267014.86
1398,1737.5856884,41611148620712.805
1370,015.522776,42689649566786.76
1370,115.522776,310427348421114.56
1370,215.522776,36709328594013.734
1370,315.522776,41986294762218.86
1370,415.522776,42326034882780.94
1370,515.522776,40762958945494.17
1370,615.522776,43033122718668.51
1370,715.522776,50563726994141.445
1370,815.522776,114522035496214.7
1370,915.522776,46879265911735.76
1370,1015.522776,41111599914952.984
1370,1115.522776,49642606832929.61
1370,1215.522776,40647654275870.88
1370,1315.522776,57537216313784.32
1370,1415.522776,48385423644780.28
1370,1515.522776,5237106820615.08
1370,1615.522776,1736180337202.216
1370,1715.522776,57395294730085.88
1370,1815.522776,60865392580627.97
1402,019.5576148,26933979744528.25
1402,119.5576148,27640453925100.562
1402,219.5576148,24065164222666.14
1402,319.5576148,39240264716109.53
1402,419.5576148,16526614792034.621
1402,519.5576148,16728117980057.287
1402,619.5576148,22270256388745.785
1402,719.5576148,22022249328843.156
1402,819.5576148,36837940791795.49
1402,919.5576148,24941659427021.797
1402,1019.5576148,14641211281146.89
1402,1119.5576148,16836231416122.861
1402,1219.5576148,23247427600151.07
1402,1319.5576148,16917067936293.213
1402,1419.5576148,39509014617530.336
1402,1519.5576148,1911098688134.3938
1402,1619.5576148,1202787286900.8672
1402,1719.5576148,37584268390945.19
2628,017.6822543,11485111468262.602
2628,117.6822543,10388188717630.578
2628,217.6822543,9066447500110.191
2628,317.6822543,11685896732929.254
2628,417.6822543,8944412926212.768
2628,517.6822543,9680864311295.137
2628,617.6822543,11088892949466.512
2628,717.6822543,10183606422410.246
2628,817.6822543,10534181588930.852
2628,917.6822543,13055633311224.11
2628,1017.6822543,13657161273482.744
2628,1117.6822543,9269173797629.102
2628,1217.6822543,14625721073981.32
2628,1317.6822543,7003401289833.939
2628,1417.6822543,6229429566095.379
2628,1517.6822543,902712371338.5573
2628,1617.6822543,349964459714.1831
2628,1717.6822543,18165068415238.625
2628,1817.6822543,26507116412452.156
19916,018.6323824,11889563675881.348
19916,118.6323824,12041628589045.465
19916,218.6323824,12649339069654.041
19916,318.6323824,11593060620878.965
19916,418.6323824,10439802836583.629
19916,518.6323824,10554215816893.758
19916,618.6323824,14047654018401.672
19916,718.6323824,10516558955272.13
19916,818.6323824,8871652550311.3
